gameId,trialNum,repNum,target,original_pct_correct,message_history,target_history,message,condition,model_logprobs
22dyGMRgestp8u5Lc,0,0,E,1.0,[],[],"[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]",backward,"{'F': -2.825965404510498, 'I': -1.3259652853012085, 'G': -1.8259652853012085, 'B': -2.450965404510498, 'K': -2.450965404510498, 'A': -2.825965404510498, 'E': -2.825965404510498, 'H': -2.825965404510498, 'L': -2.950965404510498, 'C': -3.075965404510498, 'J': -3.450965404510498, 'D': -3.575965404510498}"
22dyGMRgestp8u5Lc,1,0,H,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]]","[""E""]","[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]",backward,"{'A': -4.370301246643066, 'H': -0.8703010082244873, 'D': -1.7453010082244873, 'J': -1.9953010082244873, 'L': -2.2453010082244873, 'K': -2.9953010082244873, 'C': -3.4953010082244873, 'I': -3.9953010082244873, 'G': -4.120301246643066, 'B': -4.245301246643066, 'F': -4.245301246643066, 'E': -6.807801246643066}"
22dyGMRgestp8u5Lc,2,0,J,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]]","[""E"",""H""]","[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]",backward,"{'L': -3.0306739807128906, 'J': -1.030673861503601, 'B': -1.905673861503601, 'D': -1.905673861503601, 'K': -2.5306739807128906, 'F': -2.9056739807128906, 'C': -3.0306739807128906, 'A': -3.2806739807128906, 'G': -3.6556739807128906, 'H': -3.6556739807128906, 'I': -4.030673980712891, 'E': -6.155673980712891}"
22dyGMRgestp8u5Lc,3,0,K,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]]","[""E"",""H"",""J""]","[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]",backward,"{'B': -2.1492526531219482, 'F': -1.1492526531219482, 'G': -1.2742526531219482, 'C': -2.1492526531219482, 'K': -2.5242526531219482, 'L': -3.6492526531219482, 'A': -3.8992526531219482, 'I': -3.8992526531219482, 'D': -4.149252891540527, 'E': -5.274252891540527, 'H': -6.649252891540527, 'J': -8.961752891540527}"
22dyGMRgestp8u5Lc,4,0,G,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]]","[""E"",""H"",""J"",""K""]","[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]",backward,"{'I': -0.47886303067207336, 'L': -2.103863000869751, 'E': -2.853863000869751, 'G': -2.978863000869751, 'B': -3.103863000869751, 'A': -3.478863000869751, 'F': -3.728863000869751, 'C': -4.10386323928833, 'D': -4.35386323928833, 'H': -5.35386323928833, 'K': -5.47886323928833, 'J': -7.10386323928833}"
22dyGMRgestp8u5Lc,5,0,F,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G""]","[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]",backward,"{'L': -2.528176784515381, 'F': -0.5281769037246704, 'B': -1.5281769037246704, 'I': -3.278176784515381, 'D': -3.653176784515381, 'C': -3.778176784515381, 'A': -4.153176784515381, 'E': -5.903176784515381, 'K': -6.403176784515381, 'H': -6.903176784515381, 'J': -6.903176784515381, 'G': -7.340676784515381}"
22dyGMRgestp8u5Lc,6,0,B,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F""]","[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]",backward,"{'B': -1.3286259174346924, 'I': -1.5786259174346924, 'L': -1.5786259174346924, 'C': -2.3286259174346924, 'A': -2.7036259174346924, 'D': -2.7036259174346924, 'K': -2.7036259174346924, 'H': -5.078625679016113, 'J': -5.328625679016113, 'G': -5.578625679016113, 'E': -5.953625679016113, 'F': -10.016125679016113}"
22dyGMRgestp8u5Lc,7,0,D,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B""]","[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]",backward,"{'D': -0.9972681999206543, 'A': -1.3722681999206543, 'L': -1.8722681999206543, 'C': -2.3722681999206543, 'I': -2.3722681999206543, 'K': -3.7472681999206543, 'J': -5.622268199920654, 'B': -5.747268199920654, 'G': -6.872268199920654, 'E': -7.247268199920654, 'H': -7.247268199920654, 'F': -10.122268676757812}"
22dyGMRgestp8u5Lc,8,0,I,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D""]","[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]",backward,"{'G': -2.1919870376586914, 'C': -0.31698712706565857, 'A': -2.3169870376586914, 'I': -3.4419870376586914, 'L': -4.316987037658691, 'B': -4.691987037658691, 'E': -5.691987037658691, 'K': -6.566987037658691, 'D': -8.629487037658691, 'H': -8.691987037658691, 'J': -8.754487037658691, 'F': -10.316987037658691}"
22dyGMRgestp8u5Lc,9,0,A,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}],[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D"",""I""]","[{""role"":""describer"",""text"":""falling backwards, one leg up"",""message_number"":1}]",backward,"{'G': -2.275846004486084, 'C': -0.4008459746837616, 'A': -2.150846004486084, 'L': -2.525846004486084, 'B': -3.900846004486084, 'E': -5.275846004486084, 'K': -5.900846004486084, 'H': -7.275846004486084, 'J': -8.088345527648926, 'I': -8.900845527648926, 'D': -9.150845527648926, 'F': -11.150845527648926}"
