gameId,trialNum,repNum,target,original_pct_correct,message_history,target_history,message,condition,model_logprobs
22dyGMRgestp8u5Lc,0,0,E,1.0,[],[],"[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]",backward,"{'K': -0.0026741004548966885, 'E': -6.002674102783203, 'I': -9.502674102783203, 'C': -9.502674102783203, 'J': -10.002674102783203, 'A': -14.502674102783203, 'L': -14.502674102783203, 'G': -14.502674102783203, 'D': -17.002674102783203, 'B': -17.252674102783203, 'H': -17.502674102783203, 'F': -18.002674102783203}"
22dyGMRgestp8u5Lc,1,0,H,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]]","[""E""]","[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]",backward,"{'J': -0.0021020714193582535, 'H': -6.752101898193359, 'F': -7.002101898193359, 'I': -11.50210189819336, 'L': -11.50210189819336, 'G': -13.75210189819336, 'B': -16.25210189819336, 'C': -16.50210189819336, 'D': -17.50210189819336, 'K': -18.50210189819336, 'E': -19.75210189819336, 'A': -21.00210189819336}"
22dyGMRgestp8u5Lc,2,0,J,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]]","[""E"",""H""]","[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]",backward,"{'J': -23.875011444091797, 'L': -11.500011444091797, 'I': -13.750011444091797, 'F': -16.250011444091797, 'K': -17.000011444091797, 'A': -18.875011444091797, 'E': -19.125011444091797, 'D': -19.125011444091797, 'B': -19.375011444091797, 'C': -20.125011444091797, 'G': -23.125011444091797, 'H': -26.250011444091797}"
22dyGMRgestp8u5Lc,3,0,K,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]]","[""E"",""H"",""J""]","[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]",backward,"{'B': -38.12850570678711, 'C': -2.1285057067871094, 'F': -6.628505706787109, 'D': -8.62850570678711, 'A': -10.12850570678711, 'K': -10.37850570678711, 'G': -12.37850570678711, 'L': -18.87850570678711, 'E': -21.62850570678711, 'I': -27.87850570678711, 'H': -35.12850570678711, 'J': -38.62850570678711}"
22dyGMRgestp8u5Lc,4,0,G,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]]","[""E"",""H"",""J"",""K""]","[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]",backward,"{'B': -0.2640173137187958, 'A': -2.264017343521118, 'D': -2.264017343521118, 'C': -3.764017343521118, 'F': -7.264017105102539, 'L': -8.264017105102539, 'G': -10.514017105102539, 'I': -17.26401710510254, 'E': -19.01401710510254, 'K': -20.26401710510254, 'H': -29.01401710510254, 'J': -30.26401710510254}"
22dyGMRgestp8u5Lc,5,0,F,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G""]","[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]",backward,"{'F': -0.04006762057542801, 'B': -3.290067672729492, 'C': -6.540067672729492, 'E': -7.540067672729492, 'A': -10.290067672729492, 'L': -11.790067672729492, 'D': -12.040067672729492, 'I': -13.790067672729492, 'K': -22.540067672729492, 'G': -22.790067672729492, 'H': -23.790067672729492, 'J': -26.290067672729492}"
22dyGMRgestp8u5Lc,6,0,B,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F""]","[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]",backward,"{'L': -1.9102288484573364, 'I': -0.1602288782596588, 'A': -12.910228729248047, 'E': -13.660228729248047, 'C': -14.160228729248047, 'D': -14.910228729248047, 'B': -16.160228729248047, 'K': -17.160228729248047, 'J': -19.410228729248047, 'H': -19.910228729248047, 'F': -24.160228729248047, 'G': -24.660228729248047}"
22dyGMRgestp8u5Lc,7,0,D,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B""]","[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]",backward,"{'L': -31.4537353515625, 'I': -31.5787353515625, 'A': -6.453736305236816, 'D': -7.453736305236816, 'C': -8.703736305236816, 'K': -14.453736305236816, 'E': -22.4537353515625, 'H': -28.7037353515625, 'J': -28.7037353515625, 'G': -32.2037353515625, 'F': -32.5787353515625, 'B': -33.9537353515625}"
22dyGMRgestp8u5Lc,8,0,I,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D""]","[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]",backward,"{'C': -26.599170684814453, 'A': -27.099170684814453, 'I': -9.474170684814453, 'E': -11.224170684814453, 'L': -12.474170684814453, 'K': -22.349170684814453, 'G': -22.974170684814453, 'H': -24.474170684814453, 'F': -26.849170684814453, 'B': -27.724170684814453, 'J': -29.849170684814453, 'D': -31.224170684814453}"
22dyGMRgestp8u5Lc,9,0,A,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}],[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D"",""I""]","[{""role"":""describer"",""text"":""falling backwards, one leg up"",""message_number"":1}]",backward,"{'A': -25.43846893310547, 'C': -26.31346893310547, 'L': -8.563467979431152, 'E': -11.063467979431152, 'H': -23.68846893310547, 'K': -23.68846893310547, 'G': -25.68846893310547, 'I': -26.68846893310547, 'J': -29.81346893310547, 'F': -29.93846893310547, 'B': -31.43846893310547, 'D': -32.31346893310547}"
22dyGMRgestp8u5Lc,10,0,C,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}],[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}],[{""role"":""describer"",""text"":""falling backwards, one leg up"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D"",""I"",""A""]","[{""role"":""describer"",""text"":""jumping off building, arms out"",""message_number"":1}]",backward,"{'C': -22.755435943603516, 'L': -5.255436420440674, 'E': -8.505435943603516, 'K': -16.130435943603516, 'H': -17.880435943603516, 'A': -19.130435943603516, 'G': -19.380435943603516, 'I': -19.630435943603516, 'J': -23.505435943603516, 'B': -24.130435943603516, 'F': -24.130435943603516, 'D': -25.880435943603516}"
22dyGMRgestp8u5Lc,11,0,L,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}],[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}],[{""role"":""describer"",""text"":""falling backwards, one leg up"",""message_number"":1}],[{""role"":""describer"",""text"":""jumping off building, arms out"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D"",""I"",""A"",""C""]","[{""role"":""describer"",""text"":""standing up from kneeling"",""message_number"":1}]",backward,"{'L': -20.0000057220459, 'E': -12.750005722045898, 'K': -12.750005722045898, 'A': -16.6250057220459, 'I': -16.8750057220459, 'C': -16.8750057220459, 'J': -16.8750057220459, 'H': -19.6250057220459, 'B': -19.7500057220459, 'D': -20.6250057220459, 'G': -21.0000057220459, 'F': -22.1250057220459}"
