gameId,trialNum,repNum,target,original_pct_correct,message_history,target_history,message,condition,model_logprobs
22dyGMRgestp8u5Lc,0,0,E,1.0,[],[],"[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]",backward,"{'B': -0.21726089715957642, 'A': -1.7172608375549316, 'C': -6.967260837554932, 'D': -11.71726131439209, 'E': -19.467260360717773, 'H': -19.967260360717773, 'G': -20.717260360717773, 'F': -22.467260360717773, 'I': -29.717260360717773, 'L': -30.217260360717773, 'K': -31.217260360717773, 'J': -31.217260360717773}"
22dyGMRgestp8u5Lc,1,0,H,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]]","[""E""]","[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]",backward,"{'E': -31.53982925415039, 'D': -32.53982925415039, 'C': -2.7898292541503906, 'A': -3.7898292541503906, 'B': -7.539829254150391, 'F': -9.78982925415039, 'G': -13.53982925415039, 'H': -18.78982925415039, 'J': -25.78982925415039, 'I': -27.78982925415039, 'L': -33.28982925415039, 'K': -33.78982925415039}"
22dyGMRgestp8u5Lc,2,0,J,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]]","[""E"",""H""]","[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]",backward,"{'G': -0.07864338904619217, 'C': -3.078643321990967, 'F': -3.578643321990967, 'D': -6.828643321990967, 'A': -8.078643798828125, 'I': -8.578643798828125, 'B': -9.078643798828125, 'J': -14.078643798828125, 'E': -21.328643798828125, 'L': -22.578643798828125, 'H': -23.828643798828125, 'K': -23.828643798828125}"
22dyGMRgestp8u5Lc,3,0,K,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]]","[""E"",""H"",""J""]","[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]",backward,"{'B': -1.4178314208984375, 'C': -0.4178314805030823, 'A': -2.9178314208984375, 'G': -3.9178314208984375, 'D': -4.1678314208984375, 'F': -4.6678314208984375, 'I': -7.6678314208984375, 'K': -12.167831420898438, 'L': -13.167831420898438, 'H': -21.417831420898438, 'E': -22.167831420898438, 'J': -23.792831420898438}"
22dyGMRgestp8u5Lc,4,0,G,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]]","[""E"",""H"",""J"",""K""]","[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]",backward,"{'G': -0.9500836730003357, 'I': -1.2000837326049805, 'C': -1.4500837326049805, 'E': -3.9500837326049805, 'L': -4.2000837326049805, 'B': -4.2000837326049805, 'F': -4.4500837326049805, 'A': -4.7000837326049805, 'D': -5.2000837326049805, 'H': -6.2000837326049805, 'J': -11.45008373260498, 'K': -24.700082778930664}"
22dyGMRgestp8u5Lc,5,0,F,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G""]","[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]",backward,"{'C': -1.6463537216186523, 'I': -24.77135467529297, 'B': -1.8963537216186523, 'A': -2.1463537216186523, 'L': -4.646353721618652, 'D': -5.396353721618652, 'F': -6.146353721618652, 'H': -16.39635467529297, 'E': -17.64635467529297, 'J': -21.14635467529297, 'K': -24.27135467529297, 'G': -25.27135467529297}"
22dyGMRgestp8u5Lc,6,0,B,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F""]","[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]",backward,"{'I': -27.240131378173828, 'C': -28.865131378173828, 'A': -29.240131378173828, 'B': -29.240131378173828, 'D': -30.740131378173828, 'L': -7.990131855010986, 'E': -9.990132331848145, 'H': -12.740132331848145, 'J': -22.990131378173828, 'G': -28.615131378173828, 'K': -30.615131378173828, 'F': -31.615131378173828}"
22dyGMRgestp8u5Lc,7,0,D,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B""]","[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]",backward,"{'I': -25.85022735595703, 'L': -2.3502278327941895, 'A': -11.350228309631348, 'C': -11.600228309631348, 'D': -15.100228309631348, 'H': -15.350228309631348, 'J': -20.10022735595703, 'E': -22.35022735595703, 'B': -24.85022735595703, 'K': -25.35022735595703, 'G': -27.35022735595703, 'F': -28.72522735595703}"
22dyGMRgestp8u5Lc,8,0,I,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D""]","[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]",backward,"{'I': -22.542518615722656, 'A': -25.167518615722656, 'C': -26.542518615722656, 'L': -4.792518138885498, 'H': -9.042518615722656, 'E': -16.792518615722656, 'J': -19.542518615722656, 'B': -22.292518615722656, 'G': -24.417518615722656, 'K': -25.042518615722656, 'F': -26.167518615722656, 'D': -27.042518615722656}"
22dyGMRgestp8u5Lc,9,0,A,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}],[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D"",""I""]","[{""role"":""describer"",""text"":""falling backwards, one leg up"",""message_number"":1}]",backward,"{'C': -23.397907257080078, 'A': -25.147907257080078, 'L': -26.897907257080078, 'H': -7.6479082107543945, 'E': -15.647908210754395, 'I': -21.897907257080078, 'J': -22.647907257080078, 'G': -25.522907257080078, 'B': -27.022907257080078, 'D': -27.647907257080078, 'K': -27.647907257080078, 'F': -29.772907257080078}"
