gameId,trialNum,repNum,target,original_pct_correct,correct,message_history,target_history,correctness_history,selection_history,message,condition,model_logprobs,model_prediction
22dyGMRgestp8u5Lc,0,0,E,1.0,True,[],[],"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]","['E', 'H', 'J', 'K', 'G', 'F', 'B', 'D', 'I', 'A', 'C', 'L', 'K', 'L', 'H', 'B', 'F', 'E', 'C', 'A', 'J', 'G', 'I', 'D', 'L', 'C', 'H', 'I', 'D', 'J', 'K', 'A', 'E', 'B', 'G', 'F', 'A', 'G', 'J', 'K', 'C', 'F', 'D', 'L', 'E', 'I', 'B', 'H', 'F', 'I', 'B', 'G', 'H', 'J', 'A', 'E', 'D', 'C', 'L', 'K', 'J', 'E', 'I', 'F', 'D', 'A', 'L', 'K', 'B', 'H', 'G', 'C']","[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]",backward,"{'C': -0.8475499749183655, 'A': -1.7225499153137207, 'B': -1.8475499153137207, 'D': -2.3475499153137207, 'E': -4.660049915313721, 'I': -5.972549915313721, 'H': -6.035049915313721, 'K': -6.222549915313721, 'L': -6.285049915313721, 'F': -6.347549915313721, 'J': -6.910049915313721, 'G': -7.097549915313721}",C
22dyGMRgestp8u5Lc,1,0,H,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]]","[""E""]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]","['H', 'J', 'F', 'B', 'C', 'A', 'K', 'G', 'E', 'D', 'I', 'L', 'C', 'B', 'J', 'K', 'H', 'A', 'L', 'I', 'F', 'E', 'G', 'D', 'D', 'G', 'H', 'I', 'F', 'A', 'C', 'L', 'J', 'B', 'E', 'K', 'C', 'K', 'G', 'L', 'H', 'I', 'A', 'F', 'B', 'D', 'J', 'E', 'H', 'C', 'L', 'B', 'D', 'I', 'K', 'J', 'G', 'E', 'F', 'A', 'G', 'I', 'H', 'C', 'B', 'D', 'J', 'F', 'K', 'A', 'L', 'A']","[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]",backward,"{'C': -1.362606167793274, 'A': -1.487606167793274, 'B': -2.4876060485839844, 'D': -2.7376060485839844, 'K': -5.300106048583984, 'L': -5.487606048583984, 'E': -5.612606048583984, 'I': -5.737606048583984, 'G': -5.987606048583984, 'J': -6.487606048583984, 'H': -6.737606048583984, 'F': -6.862606048583984}",C
22dyGMRgestp8u5Lc,2,0,J,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]]","[""E"",""H""]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]","['C', 'D', 'F', 'L', 'H', 'B', 'K', 'I', 'E', 'J', 'A', 'G', 'F', 'A', 'I', 'H', 'B', 'K', 'L', 'D', 'G', 'J', 'C', 'E', 'G', 'J', 'B', 'I', 'F', 'A', 'K', 'C', 'H', 'L', 'D', 'E', 'H', 'K', 'G', 'C', 'L', 'B', 'A', 'E', 'D', 'F', 'I', 'J', 'I', 'G', 'K', 'H', 'C', 'A', 'L', 'F', 'J', 'D', 'B', 'E', 'K', 'A', 'B', 'H', 'C', 'E', 'I', 'F', 'J', 'L', 'D', 'A']","[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]",backward,"{'B': -2.3444414138793945, 'C': -1.094441533088684, 'A': -1.219441533088684, 'D': -1.594441533088684, 'K': -5.3444414138793945, 'E': -6.0319414138793945, 'G': -6.2819414138793945, 'L': -6.7819414138793945, 'I': -6.9069414138793945, 'F': -7.2819414138793945, 'J': -7.4069414138793945, 'H': -7.7194414138793945}",C
22dyGMRgestp8u5Lc,3,0,K,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]]","[""E"",""H"",""J""]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]","['F', 'G', 'H', 'A', 'C', 'E', 'K', 'J', 'B', 'D', 'L', 'I', 'E', 'G', 'L', 'B', 'H', 'A', 'I', 'J', 'C', 'F', 'D', 'K', 'L', 'B', 'D', 'H', 'G', 'E', 'F', 'C', 'J', 'K', 'A', 'I', 'H', 'E', 'A', 'J', 'B', 'L', 'D', 'I', 'G', 'K', 'C', 'F', 'K', 'F', 'J', 'L', 'B', 'D', 'G', 'H', 'C', 'A', 'I', 'E', 'C', 'I', 'F', 'A', 'B', 'E', 'D', 'H', 'J', 'L', 'G', 'A']","[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]",backward,"{'A': -1.4314848184585571, 'C': -1.1814848184585571, 'D': -2.1814846992492676, 'B': -2.4314846992492676, 'K': -3.6814846992492676, 'J': -4.306484699249268, 'L': -4.306484699249268, 'I': -4.556484699249268, 'E': -4.806484699249268, 'H': -4.931484699249268, 'G': -5.556484699249268, 'F': -6.056484699249268}",C
22dyGMRgestp8u5Lc,4,0,G,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]]","[""E"",""H"",""J"",""K""]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]","['H', 'I', 'B', 'D', 'K', 'G', 'F', 'J', 'L', 'E', 'C', 'A', 'C', 'D', 'L', 'B', 'J', 'K', 'I', 'A', 'H', 'G', 'E', 'F', 'F', 'E', 'B', 'C', 'L', 'I', 'H', 'J', 'D', 'A', 'K', 'G', 'H', 'J', 'D', 'E', 'B', 'I', 'A', 'G', 'F', 'C', 'K', 'L', 'B', 'D', 'F', 'K', 'L', 'I', 'G', 'A', 'J', 'H', 'C', 'E', 'L', 'I', 'C', 'A', 'B', 'D', 'F', 'G', 'K', 'J', 'H', 'A']","[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]",backward,"{'B': -2.3620553016662598, 'C': -1.2370553016662598, 'A': -1.4870553016662598, 'D': -1.9870553016662598, 'H': -3.7370553016662598, 'J': -4.11205530166626, 'I': -4.86205530166626, 'K': -4.98705530166626, 'E': -5.54955530166626, 'G': -5.67455530166626, 'F': -5.79955530166626, 'L': -6.36205530166626}",C
22dyGMRgestp8u5Lc,5,0,F,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G""]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]","['E', 'H', 'B', 'G', 'J', 'D', 'F', 'I', 'L', 'K', 'C', 'A', 'C', 'G', 'D', 'H', 'E', 'A', 'B', 'F', 'L', 'I', 'K', 'J', 'K', 'H', 'C', 'I', 'D', 'J', 'G', 'E', 'B', 'F', 'A', 'L', 'I', 'B', 'E', 'D', 'K', 'G', 'F', 'C', 'H', 'J', 'A', 'L', 'F', 'H', 'B', 'E', 'I', 'G', 'L', 'C', 'A', 'J', 'D', 'K', 'J', 'C', 'E', 'F', 'B', 'I', 'G', 'D', 'H', 'L', 'A', 'A']","[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]",backward,"{'C': -1.0994086265563965, 'A': -1.5994086265563965, 'B': -1.8494086265563965, 'D': -2.2244086265563965, 'L': -4.5994086265563965, 'G': -5.1619086265563965, 'E': -5.2869086265563965, 'I': -5.5369086265563965, 'K': -5.6619086265563965, 'F': -5.8494086265563965, 'J': -6.0994086265563965, 'H': -6.2869086265563965}",C
22dyGMRgestp8u5Lc,6,0,B,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F""]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]","['C', 'E', 'D', 'K', 'G', 'I', 'L', 'F', 'J', 'A', 'H', 'B', 'B', 'G', 'I', 'F', 'C', 'L', 'D', 'H', 'A', 'K', 'J', 'E', 'F', 'J', 'K', 'I', 'H', 'C', 'A', 'G', 'B', 'D', 'L', 'E', 'E', 'L', 'K', 'F', 'J', 'A', 'D', 'C', 'B', 'G', 'H', 'I', 'I', 'G', 'H', 'F', 'A', 'E', 'D', 'L', 'B', 'K', 'J', 'C', 'D', 'K', 'L', 'A', 'G', 'B', 'C', 'I', 'E', 'H', 'J', 'A']","[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]",backward,"{'B': -1.477519154548645, 'C': -1.227519154548645, 'A': -1.352519154548645, 'D': -2.2275190353393555, 'K': -5.4150190353393555, 'E': -5.4775190353393555, 'G': -5.4775190353393555, 'F': -5.7275190353393555, 'L': -5.9150190353393555, 'I': -5.9775190353393555, 'H': -6.2900190353393555, 'J': -6.3525190353393555}",C
22dyGMRgestp8u5Lc,7,0,D,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B""]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]","['D', 'C', 'I', 'E', 'G', 'L', 'J', 'H', 'F', 'B', 'A', 'K', 'H', 'J', 'D', 'F', 'E', 'B', 'I', 'K', 'C', 'L', 'A', 'G', 'D', 'I', 'J', 'C', 'L', 'F', 'H', 'K', 'A', 'G', 'E', 'B', 'C', 'E', 'K', 'J', 'G', 'F', 'H', 'B', 'L', 'A', 'D', 'I', 'B', 'L', 'J', 'E', 'I', 'H', 'A', 'D', 'G', 'C', 'K', 'F', 'E', 'A', 'G', 'C', 'L', 'B', 'I', 'D', 'J', 'H', 'F', 'A']","[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]",backward,"{'B': -1.9961884021759033, 'A': -1.2461884021759033, 'C': -1.2461884021759033, 'D': -1.9961884021759033, 'E': -4.746188163757324, 'K': -4.746188163757324, 'L': -5.121188163757324, 'I': -5.246188163757324, 'G': -5.496188163757324, 'H': -5.746188163757324, 'J': -5.871188163757324, 'F': -5.996188163757324}",A
22dyGMRgestp8u5Lc,8,0,I,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D""]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]","['H', 'F', 'A', 'D', 'E', 'K', 'J', 'G', 'L', 'C', 'B', 'I', 'C', 'K', 'F', 'A', 'H', 'B', 'D', 'G', 'I', 'E', 'J', 'L', 'C', 'I', 'F', 'L', 'G', 'K', 'B', 'J', 'A', 'E', 'D', 'H', 'F', 'D', 'I', 'H', 'G', 'K', 'B', 'J', 'L', 'E', 'A', 'C', 'I', 'D', 'L', 'J', 'A', 'F', 'G', 'H', 'K', 'C', 'B', 'E', 'G', 'H', 'D', 'K', 'L', 'A', 'J', 'E', 'I', 'B', 'C', 'A']","[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]",backward,"{'A': -1.107975721359253, 'C': -0.9829757213592529, 'D': -1.857975721359253, 'B': -2.982975721359253, 'F': -5.482975959777832, 'L': -5.795475959777832, 'E': -5.920475959777832, 'I': -6.045475959777832, 'K': -6.170475959777832, 'G': -6.857975959777832, 'J': -6.857975959777832, 'H': -7.295475959777832}",C
22dyGMRgestp8u5Lc,9,0,A,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}],[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D"",""I""]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]","['C', 'L', 'I', 'E', 'J', 'H', 'G', 'B', 'F', 'D', 'A', 'K', 'J', 'K', 'D', 'L', 'H', 'A', 'G', 'I', 'F', 'E', 'B', 'C', 'H', 'E', 'A', 'J', 'D', 'G', 'F', 'K', 'C', 'L', 'B', 'I', 'J', 'L', 'F', 'B', 'H', 'E', 'I', 'A', 'D', 'C', 'G', 'K', 'I', 'A', 'H', 'J', 'D', 'L', 'C', 'K', 'B', 'G', 'F', 'E', 'I', 'F', 'D', 'H', 'A', 'G', 'E', 'L', 'C', 'J', 'B', 'D']","[{""role"":""describer"",""text"":""falling backwards, one leg up"",""message_number"":1}]",backward,"{'D': -1.738236665725708, 'C': -0.988236665725708, 'A': -1.488236665725708, 'B': -2.363236665725708, 'K': -4.113236427307129, 'L': -4.363236427307129, 'J': -5.238236427307129, 'E': -5.488236427307129, 'H': -5.863236427307129, 'I': -5.863236427307129, 'F': -5.925736427307129, 'G': -6.425736427307129}",C
