gameId,trialNum,repNum,target,original_pct_correct,correct,message_history,target_history,correctness_history,selection_history,message,condition,model_logprobs
22dyGMRgestp8u5Lc,0,0,E,1.0,True,[],[],[],[],"[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]",backward,"{'E': -0.12029893162380381, 'A': -2.722832455331461, 'F': -3.957181890589672, 'B': -4.691586554371639, 'D': -4.972832693743677, 'C': -5.754092681052148, 'G': -5.753993456567042, 'H': -6.472766232360617, 'I': -8.378950933706852, 'J': -9.004057939043397, 'L': -9.75405108960914, 'K': -10.253950933706852}"
22dyGMRgestp8u5Lc,1,0,H,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]]","[""E""]",[true],"[""E""]","[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]",backward,"{'G': -3.7073183020331846, 'J': -0.3091890992545746, 'F': -2.39494304947079, 'I': -3.503747470783238, 'L': -3.597991534493595, 'H': -3.6448183020331846, 'K': -3.894647543636097, 'B': -4.191979154949223, 'C': -4.598309541388528, 'D': -4.707589567006463, 'E': -5.441823292662749, 'A': -5.53565551061401}"
22dyGMRgestp8u5Lc,2,0,J,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]]","[""E"",""H""]","[true,true]","[""E"",""H""]","[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]",backward,"{'J': -0.6698883016418242, 'K': -1.929547969428237, 'I': -2.0776651646471858, 'L': -2.3592711265025645, 'F': -3.156115472523033, 'A': -3.9686989868769715, 'C': -4.250012027036037, 'B': -4.26560492842286, 'G': -4.3435603409377626, 'H': -4.952939204939216, 'D': -5.39060492842286, 'E': -5.4217711265025645}"
22dyGMRgestp8u5Lc,3,0,K,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]]","[""E"",""H"",""J""]","[true,true,true]","[""E"",""H"",""J""]","[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]",backward,"{'B': -3.4201097191676415, 'G': -1.3927089500516938, 'K': -1.5528188724565868, 'F': -1.8184844154616635, 'L': -1.9981573902710055, 'C': -2.560755416708495, 'I': -2.7788505439340017, 'D': -3.5919660852241546, 'H': -4.169997579262932, 'A': -4.232556416942134, 'E': -5.060672705432131, 'J': -5.841894361237058}"
22dyGMRgestp8u5Lc,4,0,G,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]]","[""E"",""H"",""J"",""K""]","[true,true,true,true]","[""E"",""H"",""J"",""K""]","[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]",backward,"{'J': -2.277462081812568, 'L': -0.6973736922134428, 'I': -1.425575588493409, 'K': -2.730516422519341, 'H': -3.839872822213095, 'F': -3.8867808242609834, 'A': -3.949348925307781, 'C': -4.6212683355975726, 'B': -4.964990552254059, 'G': -4.964873060588872, 'E': -5.339936678612941, 'D': -5.996215097849076}"
22dyGMRgestp8u5Lc,5,0,F,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G""]","[true,true,true,true,true]","[""E"",""H"",""J"",""K"",""G""]","[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]",backward,"{'K': -5.07904316858736, 'B': -1.2003928861136377, 'F': -1.5714176275316567, 'A': -2.3605026955099833, 'I': -2.391241542496357, 'C': -2.501187888902399, 'L': -2.5010628587524177, 'J': -2.7042214833898144, 'D': -3.501137652328928, 'H': -4.016625122826613, 'E': -4.079249406500833, 'G': -6.516610713813161}"
22dyGMRgestp8u5Lc,6,0,B,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F""]","[true,true,true,true,true,true]","[""E"",""H"",""J"",""K"",""G"",""F""]","[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]",backward,"{'A': -1.2620977955635355, 'I': -1.246209960805288, 'B': -1.6371067292219765, 'L': -2.5276758915388386, 'D': -2.8870870196206817, 'E': -3.418338958778032, 'C': -3.465248360317514, 'J': -3.7151626895900662, 'H': -5.34011133272675, 'K': -6.152536960456227, 'F': -6.277647491644655, 'G': -7.683821363118886}"
22dyGMRgestp8u5Lc,7,0,D,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B""]","[true,true,true,true,true,true,true]","[""E"",""H"",""J"",""K"",""G"",""F"",""B""]","[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]",backward,"{'A': -0.7682773110364083, 'D': -1.0807894449460607, 'I': -2.4319710067777507, 'L': -2.479187776110733, 'C': -4.104246428488367, 'J': -5.479134451414882, 'H': -6.697828858805643, 'K': -6.760340437297856, 'E': -7.041720120606669, 'B': -7.760519981384277, 'F': -8.697911078648405, 'G': -9.135303414091847}"
22dyGMRgestp8u5Lc,8,0,I,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D""]","[true,true,true,true,true,true,true,true]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D""]","[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]",backward,"{'L': -4.317650575764031, 'C': -0.3841134287410421, 'A': -1.3254849226468426, 'I': -3.3641721539582803, 'J': -6.255118585006233, 'K': -6.786343570959512, 'E': -7.161429553773356, 'B': -7.786470890045166, 'H': -8.06755269974402, 'G': -9.005062917959782, 'F': -9.067721366882324, 'D': -9.942721366882324}"
22dyGMRgestp8u5Lc,9,0,A,1.0,True,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}],[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D"",""I""]","[true,true,true,true,true,true,true,true,true]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D"",""I""]","[{""role"":""describer"",""text"":""falling backwards, one leg up"",""message_number"":1}]",backward,"{'E': -2.3730949255909235, 'A': -0.5312932502558013, 'C': -1.3028058959753772, 'L': -3.341806950915658, 'J': -5.185536213115737, 'B': -6.466862453640308, 'H': -6.560456522606488, 'F': -6.7480294059481665, 'K': -7.122944576638057, 'G': -7.529161232191817, 'D': -7.935641765594482, 'I': -10.154391288757324}"
