gameId,trialNum,repNum,target,original_pct_correct,message_history,target_history,correctness_history,selection_history,message,condition,model_logprobs,model_prediction
rSMFkjhskBteiyQMB,0,0,K,0.6666666666666666,[],[],[],[],"[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}]",ablated,"{'K': -0.0009473841637372971, 'J': -7.00094747543335, 'L': -10.250946998596191, 'D': -14.500946998596191, 'E': -17.500947952270508, 'I': -17.750947952270508, 'C': -17.750947952270508, 'B': -17.750947952270508, 'F': -19.500947952270508, 'H': -20.500947952270508, 'G': -20.500947952270508, 'A': -22.250947952270508}",K
rSMFkjhskBteiyQMB,1,0,F,1.0,"[[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}]]","[""K""]",[False],['K'],"[{""role"":""describer"",""text"":""This one looks like a person sat down Their head is a rotated square"",""message_number"":1},{""role"":""matcher"",""text"":""do they have bunny ears"",""message_number"":2},{""role"":""matcher"",""text"":""or knee up"",""message_number"":3},{""role"":""matcher"",""text"":""sat down with legs out"",""message_number"":4},{""role"":""describer"",""text"":""They look as if they are sad so the head is tilted down"",""message_number"":5},{""role"":""describer"",""text"":""1 knee up no bunny ears"",""message_number"":6}]",ablated,"{'B': -0.018252037465572357, 'C': -4.018251895904541, 'A': -10.0182523727417, 'E': -10.0182523727417, 'D': -11.2682523727417, 'G': -16.268251419067383, 'F': -17.268251419067383, 'J': -18.268251419067383, 'K': -20.018251419067383, 'H': -21.268251419067383, 'I': -21.768251419067383, 'L': -23.518251419067383}",B
rSMFkjhskBteiyQMB,2,0,H,1.0,"[[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}],[{""role"":""describer"",""text"":""This one looks like a person sat down Their head is a rotated square"",""message_number"":1},{""role"":""matcher"",""text"":""do they have bunny ears"",""message_number"":2},{""role"":""matcher"",""text"":""or knee up"",""message_number"":3},{""role"":""matcher"",""text"":""sat down with legs out"",""message_number"":4},{""role"":""describer"",""text"":""They look as if they are sad so the head is tilted down"",""message_number"":5},{""role"":""describer"",""text"":""1 knee up no bunny ears"",""message_number"":6}]]","[""K"",""F""]","[False, False]","['K', 'B']","[{""role"":""describer"",""text"":""Looks like a letter 'i'"",""message_number"":1},{""role"":""matcher"",""text"":""does it look like with its hand out or not"",""message_number"":2},{""role"":""describer"",""text"":""no hand it is just a head and a body"",""message_number"":3},{""role"":""describer"",""text"":""more like a baby that has been swaddled in a blanket"",""message_number"":4}]",ablated,"{'J': -0.0032812110148370266, 'L': -5.753281116485596, 'D': -9.753281593322754, 'I': -10.003281593322754, 'E': -16.503280639648438, 'H': -17.253280639648438, 'A': -18.503280639648438, 'C': -20.253280639648438, 'F': -20.503280639648438, 'G': -22.753280639648438, 'K': -24.003280639648438, 'B': -30.503280639648438}",J
rSMFkjhskBteiyQMB,3,0,J,0.6666666666666666,"[[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}],[{""role"":""describer"",""text"":""This one looks like a person sat down Their head is a rotated square"",""message_number"":1},{""role"":""matcher"",""text"":""do they have bunny ears"",""message_number"":2},{""role"":""matcher"",""text"":""or knee up"",""message_number"":3},{""role"":""matcher"",""text"":""sat down with legs out"",""message_number"":4},{""role"":""describer"",""text"":""They look as if they are sad so the head is tilted down"",""message_number"":5},{""role"":""describer"",""text"":""1 knee up no bunny ears"",""message_number"":6}],[{""role"":""describer"",""text"":""Looks like a letter 'i'"",""message_number"":1},{""role"":""matcher"",""text"":""does it look like with its hand out or not"",""message_number"":2},{""role"":""describer"",""text"":""no hand it is just a head and a body"",""message_number"":3},{""role"":""describer"",""text"":""more like a baby that has been swaddled in a blanket"",""message_number"":4}]]","[""K"",""F"",""H""]","[True, False, False]","['K', 'B', 'J']","[{""role"":""describer"",""text"":""square rotated head The point is touching a straight line and that shape is not a regular shape It looks as if 1 arm is reaching out to the side"",""message_number"":1},{""role"":""describer"",""text"":""There appears to be a foot too"",""message_number"":2}]",ablated,"{'A': -0.0005634627304971218, 'E': -7.750563621520996, 'C': -9.000563621520996, 'I': -12.250563621520996, 'G': -12.500563621520996, 'D': -15.000563621520996, 'F': -15.000563621520996, 'L': -15.250563621520996, 'H': -16.25056266784668, 'K': -20.00056266784668, 'J': -25.87556266784668, 'B': -27.25056266784668}",A
rSMFkjhskBteiyQMB,4,0,D,1.0,"[[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}],[{""role"":""describer"",""text"":""This one looks like a person sat down Their head is a rotated square"",""message_number"":1},{""role"":""matcher"",""text"":""do they have bunny ears"",""message_number"":2},{""role"":""matcher"",""text"":""or knee up"",""message_number"":3},{""role"":""matcher"",""text"":""sat down with legs out"",""message_number"":4},{""role"":""describer"",""text"":""They look as if they are sad so the head is tilted down"",""message_number"":5},{""role"":""describer"",""text"":""1 knee up no bunny ears"",""message_number"":6}],[{""role"":""describer"",""text"":""Looks like a letter 'i'"",""message_number"":1},{""role"":""matcher"",""text"":""does it look like with its hand out or not"",""message_number"":2},{""role"":""describer"",""text"":""no hand it is just a head and a body"",""message_number"":3},{""role"":""describer"",""text"":""more like a baby that has been swaddled in a blanket"",""message_number"":4}],[{""role"":""describer"",""text"":""square rotated head The point is touching a straight line and that shape is not a regular shape It looks as if 1 arm is reaching out to the side"",""message_number"":1},{""role"":""describer"",""text"":""There appears to be a foot too"",""message_number"":2}]]","[""K"",""F"",""H"",""J""]","[False, False, False, False]","['K', 'B', 'J', 'A']","[{""role"":""describer"",""text"":""This picture looks like a religious person giving a sermon speech They look as if they are holding a book to one side"",""message_number"":1},{""role"":""matcher"",""text"":""the 'I' but with hand out"",""message_number"":2},{""role"":""matcher"",""text"":""are their knees bent a little"",""message_number"":3},{""role"":""describer"",""text"":""no their knees are not bent they are straight"",""message_number"":4}]",ablated,"{'I': -0.00033825874561443925, 'L': -8.000338554382324, 'E': -13.000338554382324, 'G': -15.000338554382324, 'D': -15.750338554382324, 'C': -16.000337600708008, 'K': -16.500337600708008, 'J': -18.250337600708008, 'H': -18.500337600708008, 'F': -18.750337600708008, 'A': -24.875337600708008, 'B': -25.750337600708008}",I
rSMFkjhskBteiyQMB,5,0,I,1.0,"[[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}],[{""role"":""describer"",""text"":""This one looks like a person sat down Their head is a rotated square"",""message_number"":1},{""role"":""matcher"",""text"":""do they have bunny ears"",""message_number"":2},{""role"":""matcher"",""text"":""or knee up"",""message_number"":3},{""role"":""matcher"",""text"":""sat down with legs out"",""message_number"":4},{""role"":""describer"",""text"":""They look as if they are sad so the head is tilted down"",""message_number"":5},{""role"":""describer"",""text"":""1 knee up no bunny ears"",""message_number"":6}],[{""role"":""describer"",""text"":""Looks like a letter 'i'"",""message_number"":1},{""role"":""matcher"",""text"":""does it look like with its hand out or not"",""message_number"":2},{""role"":""describer"",""text"":""no hand it is just a head and a body"",""message_number"":3},{""role"":""describer"",""text"":""more like a baby that has been swaddled in a blanket"",""message_number"":4}],[{""role"":""describer"",""text"":""square rotated head The point is touching a straight line and that shape is not a regular shape It looks as if 1 arm is reaching out to the side"",""message_number"":1},{""role"":""describer"",""text"":""There appears to be a foot too"",""message_number"":2}],[{""role"":""describer"",""text"":""This picture looks like a religious person giving a sermon speech They look as if they are holding a book to one side"",""message_number"":1},{""role"":""matcher"",""text"":""the 'I' but with hand out"",""message_number"":2},{""role"":""matcher"",""text"":""are their knees bent a little"",""message_number"":3},{""role"":""describer"",""text"":""no their knees are not bent they are straight"",""message_number"":4}]]","[""K"",""F"",""H"",""J"",""D""]","[False, False, False, False, False]","['K', 'B', 'J', 'A', 'I']","[{""role"":""describer"",""text"":""Looks like someone ice skating"",""message_number"":1},{""role"":""describer"",""text"":""there arms are out in front of them and they have one leg lifted off the ground"",""message_number"":2},{""role"":""matcher"",""text"":""lowkey like a rooster too"",""message_number"":3},{""role"":""matcher"",""text"":""with leg up at 90 degrees"",""message_number"":4},{""role"":""describer"",""text"":""yes to 90 degrees"",""message_number"":5}]",ablated,"{'C': -0.00013100242358632386, 'L': -9.250130653381348, 'G': -11.000130653381348, 'E': -11.500130653381348, 'K': -12.250130653381348, 'H': -13.250130653381348, 'D': -13.500130653381348, 'F': -16.500131607055664, 'A': -22.000131607055664, 'J': -22.375131607055664, 'I': -23.750131607055664, 'B': -31.125131607055664}",C
rSMFkjhskBteiyQMB,6,0,B,1.0,"[[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}],[{""role"":""describer"",""text"":""This one looks like a person sat down Their head is a rotated square"",""message_number"":1},{""role"":""matcher"",""text"":""do they have bunny ears"",""message_number"":2},{""role"":""matcher"",""text"":""or knee up"",""message_number"":3},{""role"":""matcher"",""text"":""sat down with legs out"",""message_number"":4},{""role"":""describer"",""text"":""They look as if they are sad so the head is tilted down"",""message_number"":5},{""role"":""describer"",""text"":""1 knee up no bunny ears"",""message_number"":6}],[{""role"":""describer"",""text"":""Looks like a letter 'i'"",""message_number"":1},{""role"":""matcher"",""text"":""does it look like with its hand out or not"",""message_number"":2},{""role"":""describer"",""text"":""no hand it is just a head and a body"",""message_number"":3},{""role"":""describer"",""text"":""more like a baby that has been swaddled in a blanket"",""message_number"":4}],[{""role"":""describer"",""text"":""square rotated head The point is touching a straight line and that shape is not a regular shape It looks as if 1 arm is reaching out to the side"",""message_number"":1},{""role"":""describer"",""text"":""There appears to be a foot too"",""message_number"":2}],[{""role"":""describer"",""text"":""This picture looks like a religious person giving a sermon speech They look as if they are holding a book to one side"",""message_number"":1},{""role"":""matcher"",""text"":""the 'I' but with hand out"",""message_number"":2},{""role"":""matcher"",""text"":""are their knees bent a little"",""message_number"":3},{""role"":""describer"",""text"":""no their knees are not bent they are straight"",""message_number"":4}],[{""role"":""describer"",""text"":""Looks like someone ice skating"",""message_number"":1},{""role"":""describer"",""text"":""there arms are out in front of them and they have one leg lifted off the ground"",""message_number"":2},{""role"":""matcher"",""text"":""lowkey like a rooster too"",""message_number"":3},{""role"":""matcher"",""text"":""with leg up at 90 degrees"",""message_number"":4},{""role"":""describer"",""text"":""yes to 90 degrees"",""message_number"":5}]]","[""K"",""F"",""H"",""J"",""D"",""I""]","[False, False, False, False, False, False]","['K', 'B', 'J', 'A', 'I', 'C']","[{""role"":""describer"",""text"":""Rotated square at the top, a triangle is touching it's point They are touching another triangle"",""message_number"":1},{""role"":""describer"",""text"":""this picture looks like an animal sat down"",""message_number"":2},{""role"":""matcher"",""text"":""do the two triangles kind look like wings"",""message_number"":3}]",ablated,"{'E': -0.005825446452945471, 'L': -5.255825519561768, 'H': -8.00582504272461, 'G': -9.00582504272461, 'D': -9.50582504272461, 'F': -9.75582504272461, 'K': -12.75582504272461, 'A': -17.50582504272461, 'J': -18.00582504272461, 'B': -18.50582504272461, 'I': -19.00582504272461, 'C': -26.75582504272461}",E
rSMFkjhskBteiyQMB,7,0,L,1.0,"[[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}],[{""role"":""describer"",""text"":""This one looks like a person sat down Their head is a rotated square"",""message_number"":1},{""role"":""matcher"",""text"":""do they have bunny ears"",""message_number"":2},{""role"":""matcher"",""text"":""or knee up"",""message_number"":3},{""role"":""matcher"",""text"":""sat down with legs out"",""message_number"":4},{""role"":""describer"",""text"":""They look as if they are sad so the head is tilted down"",""message_number"":5},{""role"":""describer"",""text"":""1 knee up no bunny ears"",""message_number"":6}],[{""role"":""describer"",""text"":""Looks like a letter 'i'"",""message_number"":1},{""role"":""matcher"",""text"":""does it look like with its hand out or not"",""message_number"":2},{""role"":""describer"",""text"":""no hand it is just a head and a body"",""message_number"":3},{""role"":""describer"",""text"":""more like a baby that has been swaddled in a blanket"",""message_number"":4}],[{""role"":""describer"",""text"":""square rotated head The point is touching a straight line and that shape is not a regular shape It looks as if 1 arm is reaching out to the side"",""message_number"":1},{""role"":""describer"",""text"":""There appears to be a foot too"",""message_number"":2}],[{""role"":""describer"",""text"":""This picture looks like a religious person giving a sermon speech They look as if they are holding a book to one side"",""message_number"":1},{""role"":""matcher"",""text"":""the 'I' but with hand out"",""message_number"":2},{""role"":""matcher"",""text"":""are their knees bent a little"",""message_number"":3},{""role"":""describer"",""text"":""no their knees are not bent they are straight"",""message_number"":4}],[{""role"":""describer"",""text"":""Looks like someone ice skating"",""message_number"":1},{""role"":""describer"",""text"":""there arms are out in front of them and they have one leg lifted off the ground"",""message_number"":2},{""role"":""matcher"",""text"":""lowkey like a rooster too"",""message_number"":3},{""role"":""matcher"",""text"":""with leg up at 90 degrees"",""message_number"":4},{""role"":""describer"",""text"":""yes to 90 degrees"",""message_number"":5}],[{""role"":""describer"",""text"":""Rotated square at the top, a triangle is touching it's point They are touching another triangle"",""message_number"":1},{""role"":""describer"",""text"":""this picture looks like an animal sat down"",""message_number"":2},{""role"":""matcher"",""text"":""do the two triangles kind look like wings"",""message_number"":3}]]","[""K"",""F"",""H"",""J"",""D"",""I"",""B""]","[False, False, False, False, False, False, False]","['K', 'B', 'J', 'A', 'I', 'C', 'E']","[{""role"":""describer"",""text"":""This looks like a person giving a speech from a book again but this time with knees bent"",""message_number"":1}]",ablated,"{'L': -0.0006777135422453284, 'D': -7.750677585601807, 'G': -8.500678062438965, 'K': -10.250678062438965, 'F': -12.000678062438965, 'H': -13.250678062438965, 'I': -14.500678062438965, 'J': -16.25067710876465, 'E': -18.25067710876465, 'A': -19.37567710876465, 'B': -20.37567710876465, 'C': -25.50067710876465}",L
rSMFkjhskBteiyQMB,8,0,C,1.0,"[[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}],[{""role"":""describer"",""text"":""This one looks like a person sat down Their head is a rotated square"",""message_number"":1},{""role"":""matcher"",""text"":""do they have bunny ears"",""message_number"":2},{""role"":""matcher"",""text"":""or knee up"",""message_number"":3},{""role"":""matcher"",""text"":""sat down with legs out"",""message_number"":4},{""role"":""describer"",""text"":""They look as if they are sad so the head is tilted down"",""message_number"":5},{""role"":""describer"",""text"":""1 knee up no bunny ears"",""message_number"":6}],[{""role"":""describer"",""text"":""Looks like a letter 'i'"",""message_number"":1},{""role"":""matcher"",""text"":""does it look like with its hand out or not"",""message_number"":2},{""role"":""describer"",""text"":""no hand it is just a head and a body"",""message_number"":3},{""role"":""describer"",""text"":""more like a baby that has been swaddled in a blanket"",""message_number"":4}],[{""role"":""describer"",""text"":""square rotated head The point is touching a straight line and that shape is not a regular shape It looks as if 1 arm is reaching out to the side"",""message_number"":1},{""role"":""describer"",""text"":""There appears to be a foot too"",""message_number"":2}],[{""role"":""describer"",""text"":""This picture looks like a religious person giving a sermon speech They look as if they are holding a book to one side"",""message_number"":1},{""role"":""matcher"",""text"":""the 'I' but with hand out"",""message_number"":2},{""role"":""matcher"",""text"":""are their knees bent a little"",""message_number"":3},{""role"":""describer"",""text"":""no their knees are not bent they are straight"",""message_number"":4}],[{""role"":""describer"",""text"":""Looks like someone ice skating"",""message_number"":1},{""role"":""describer"",""text"":""there arms are out in front of them and they have one leg lifted off the ground"",""message_number"":2},{""role"":""matcher"",""text"":""lowkey like a rooster too"",""message_number"":3},{""role"":""matcher"",""text"":""with leg up at 90 degrees"",""message_number"":4},{""role"":""describer"",""text"":""yes to 90 degrees"",""message_number"":5}],[{""role"":""describer"",""text"":""Rotated square at the top, a triangle is touching it's point They are touching another triangle"",""message_number"":1},{""role"":""describer"",""text"":""this picture looks like an animal sat down"",""message_number"":2},{""role"":""matcher"",""text"":""do the two triangles kind look like wings"",""message_number"":3}],[{""role"":""describer"",""text"":""This looks like a person giving a speech from a book again but this time with knees bent"",""message_number"":1}]]","[""K"",""F"",""H"",""J"",""D"",""I"",""B"",""L""]","[False, False, False, False, False, False, False, False]","['K', 'B', 'J', 'A', 'I', 'C', 'E', 'L']","[{""role"":""describer"",""text"":""This looks like a person with their arms raised up"",""message_number"":1},{""role"":""matcher"",""text"":""like its going in for a hug"",""message_number"":2}]",ablated,"{'D': -0.9812120199203491, 'G': -0.4812120497226715, 'H': -4.981212139129639, 'F': -8.48121166229248, 'K': -10.48121166229248, 'I': -11.98121166229248, 'J': -12.98121166229248, 'E': -17.981212615966797, 'A': -18.981212615966797, 'L': -18.981212615966797, 'B': -18.981212615966797, 'C': -24.481212615966797}",G
rSMFkjhskBteiyQMB,9,0,G,1.0,"[[{""role"":""describer"",""text"":""triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points"",""message_number"":1}],[{""role"":""describer"",""text"":""This one looks like a person sat down Their head is a rotated square"",""message_number"":1},{""role"":""matcher"",""text"":""do they have bunny ears"",""message_number"":2},{""role"":""matcher"",""text"":""or knee up"",""message_number"":3},{""role"":""matcher"",""text"":""sat down with legs out"",""message_number"":4},{""role"":""describer"",""text"":""They look as if they are sad so the head is tilted down"",""message_number"":5},{""role"":""describer"",""text"":""1 knee up no bunny ears"",""message_number"":6}],[{""role"":""describer"",""text"":""Looks like a letter 'i'"",""message_number"":1},{""role"":""matcher"",""text"":""does it look like with its hand out or not"",""message_number"":2},{""role"":""describer"",""text"":""no hand it is just a head and a body"",""message_number"":3},{""role"":""describer"",""text"":""more like a baby that has been swaddled in a blanket"",""message_number"":4}],[{""role"":""describer"",""text"":""square rotated head The point is touching a straight line and that shape is not a regular shape It looks as if 1 arm is reaching out to the side"",""message_number"":1},{""role"":""describer"",""text"":""There appears to be a foot too"",""message_number"":2}],[{""role"":""describer"",""text"":""This picture looks like a religious person giving a sermon speech They look as if they are holding a book to one side"",""message_number"":1},{""role"":""matcher"",""text"":""the 'I' but with hand out"",""message_number"":2},{""role"":""matcher"",""text"":""are their knees bent a little"",""message_number"":3},{""role"":""describer"",""text"":""no their knees are not bent they are straight"",""message_number"":4}],[{""role"":""describer"",""text"":""Looks like someone ice skating"",""message_number"":1},{""role"":""describer"",""text"":""there arms are out in front of them and they have one leg lifted off the ground"",""message_number"":2},{""role"":""matcher"",""text"":""lowkey like a rooster too"",""message_number"":3},{""role"":""matcher"",""text"":""with leg up at 90 degrees"",""message_number"":4},{""role"":""describer"",""text"":""yes to 90 degrees"",""message_number"":5}],[{""role"":""describer"",""text"":""Rotated square at the top, a triangle is touching it's point They are touching another triangle"",""message_number"":1},{""role"":""describer"",""text"":""this picture looks like an animal sat down"",""message_number"":2},{""role"":""matcher"",""text"":""do the two triangles kind look like wings"",""message_number"":3}],[{""role"":""describer"",""text"":""This looks like a person giving a speech from a book again but this time with knees bent"",""message_number"":1}],[{""role"":""describer"",""text"":""This looks like a person with their arms raised up"",""message_number"":1},{""role"":""matcher"",""text"":""like its going in for a hug"",""message_number"":2}]]","[""K"",""F"",""H"",""J"",""D"",""I"",""B"",""L"",""C""]","[False, False, False, False, False, False, False, False, False]","['K', 'B', 'J', 'A', 'I', 'C', 'E', 'L', 'G']","[{""role"":""describer"",""text"":""This one has a square on the left ( ear 1 ) and a 4 sided shape on the right (ear 2) it then has another shape that looks like a rectangle going down"",""message_number"":1},{""role"":""describer"",""text"":""it connects to a bigger 4 sided shape at the bottom (trapezium ) with a smaller triangle on the right hand side"",""message_number"":2},{""role"":""describer"",""text"":""kind of looks like a dog to me"",""message_number"":3}]",ablated,"{'H': -0.060442060232162476, 'D': -3.3104419708251953, 'F': -3.8104419708251953, 'K': -11.310441970825195, 'E': -14.560441970825195, 'A': -15.310441970825195, 'J': -15.310441970825195, 'I': -16.560441970825195, 'B': -17.060441970825195, 'L': -19.810441970825195, 'G': -20.685441970825195, 'C': -22.560441970825195}",H
